timestamp,GLD,USO
26-04-2006,63.65,69.54
27-04-2006,62.96,68.7
28-04-2006,65.09,69.62
01-05-2006,65.16,71.5
02-05-2006,66.55,72.34
03-05-2006,66.46,70.22
04-05-2006,67.48,68.32
05-05-2006,67.99,68
08-05-2006,67.56,67.88
09-05-2006,69.68,68.4
10-05-2006,70.38,69.77
11-05-2006,71.03,70.3
12-05-2006,71.12,69.11
15-05-2006,67.41,66.63
16-05-2006,68.61,66.7
17-05-2006,68.15,65.7
18-05-2006,67.46,66.74
19-05-2006,65.58,65.57
22-05-2006,65.3,66.28
23-05-2006,66.38,67.77
24-05-2006,64.06,66.1
25-05-2006,64.7,67.8
26-05-2006,65.1,67.75
30-05-2006,65.11,68.32
31-05-2006,64.23,67.73
01-06-2006,62.56,66.82
02-06-2006,63.5,68.9
05-06-2006,63.29,68.74
06-06-2006,62.55,68.76
07-06-2006,62.28,67.28
08-06-2006,60.91,67.12
09-06-2006,60.45,68.07
12-06-2006,60.03,67.08
13-06-2006,55.92,65.18
14-06-2006,55.62,65.79
15-06-2006,57.32,66.16
16-06-2006,57.68,66.25
19-06-2006,56.36,65.54
20-06-2006,57.3,65.29
21-06-2006,58.33,66.35
22-06-2006,57.73,67
23-06-2006,57.99,66.89
26-06-2006,58.28,67.7
27-06-2006,57.68,68.08
28-06-2006,57.54,68.31
29-06-2006,59.52,69.51
30-06-2006,61.23,69.77
03-07-2006,62.18,69.93
05-07-2006,62.5,71
06-07-2006,63.02,70.77
07-07-2006,62.63,69.85
10-07-2006,62.02,69.56
11-07-2006,63.81,70.08
12-07-2006,64.92,71.14
13-07-2006,65.55,73.25
14-07-2006,65.85,73.22
17-07-2006,63.95,71.65
18-07-2006,62.9,70.75
19-07-2006,64.03,69.85
20-07-2006,62.54,69.1
21-07-2006,61.71,69.52
24-07-2006,61.14,70.17
25-07-2006,61.55,69
26-07-2006,62,69.17
27-07-2006,62.9,69.68
28-07-2006,63.11,68.5
31-07-2006,63.16,69.52
01-08-2006,64.32,70.15
02-08-2006,64.75,71.12
03-08-2006,64.12,70.56
04-08-2006,64.28,69.81
07-08-2006,64.5,72
08-08-2006,63.97,71.3
09-08-2006,64.63,71.17
10-08-2006,63.25,69.6
11-08-2006,62.71,69.73
14-08-2006,62.25,68.59
15-08-2006,62.01,68.21
16-08-2006,62.49,67.1
17-08-2006,61.03,66.05
18-08-2006,61.04,66.18
21-08-2006,62.44,67.42
22-08-2006,62.05,67.05
23-08-2006,61.83,66
24-08-2006,61.75,66.75
25-08-2006,61.77,66.55
28-08-2006,61,64.88
29-08-2006,60.94,64.19
30-08-2006,61.42,64.85
