timestamp,EWA,EWC
2006-04-26,16.1,22.95
2006-04-27,15.98,22.78
2006-04-28,16.1,22.94
2006-05-01,16.31,23.05
2006-05-02,16.29,23.32
2006-05-03,16.32,23.12
2006-05-04,16.27,23.01
2006-05-05,16.56,23.33
2006-05-08,16.63,23.23
2006-05-09,16.96,23.54
2006-05-10,16.87,23.56
2006-05-11,16.86,23.17
2006-05-12,16.3,22.76
2006-05-15,15.79,22.2
2006-05-16,16.08,22.29
2006-05-17,15.39,21.79
2006-05-18,15.44,21.47
2006-05-19,15.31,21.55
2006-05-22,14.81,21.35
2006-05-23,15.09,21.37
2006-05-24,14.84,21.15
2006-05-25,15.11,21.99
2006-05-26,15.25,22.2
2006-05-30,15.15,22.1
2006-05-31,14.96,22.38
2006-06-01,14.87,22.38
2006-06-02,15.11,22.6
2006-06-05,14.88,22.09
2006-06-06,14.52,21.86
2006-06-07,14.36,21.44
2006-06-08,14.08,21.04
2006-06-09,14.33,21.32
2006-06-12,14.19,21.02
2006-06-13,13.34,20.23
2006-06-14,13.75,20.41
2006-06-15,14.29,21
2006-06-16,14.11,20.78
2006-06-19,13.86,20.32
2006-06-20,13.85,20.29
2006-06-21,14.23,20.82
2006-06-22,14.19,20.66
2006-06-23,14.18,20.78
2006-06-26,14.22,21.09
2006-06-27,14.11,20.95
2006-06-28,14.05,20.93
2006-06-29,14.86,21.63
2006-06-30,14.91,21.83
2006-07-03,15.05,22.07
2006-07-05,14.79,21.89
2006-07-06,15.03,21.82
2006-07-07,15.34,21.82
2006-07-10,15.32,21.64
2006-07-11,15.34,21.8
2006-07-12,15.05,21.67
2006-07-13,14.87,21.38
2006-07-14,14.45,21.41
2006-07-17,14.41,21
2006-07-18,14.32,21.06
2006-07-19,14.66,21.42
2006-07-20,14.59,21.09
2006-07-21,14.48,20.93
2006-07-24,14.91,21.29
2006-07-25,14.88,21.56
2006-07-26,14.78,21.9
2006-07-27,15.06,21.6
2006-07-28,15.29,21.83
2006-07-31,15.12,21.86
2006-08-01,15.04,21.98
2006-08-02,14.99,22.24
2006-08-03,14.95,22.23
2006-08-04,14.97,22.16
2006-08-07,14.88,22.19
2006-08-08,15.05,22.41
2006-08-09,14.94,22.43
2006-08-10,15.01,22.26
2006-08-11,14.86,22.28
2006-08-14,14.91,22.01
2006-08-15,15.21,22.36
2006-08-16,15.27,22.53
2006-08-17,15.33,22.45
2006-08-18,15.32,22.4
2006-08-21,15.55,22.82
2006-08-22,15.42,23.01
2006-08-23,15.33,23.04
2006-08-24,15.03,22.85
2006-08-25,15.11,22.87
2006-08-28,15.25,22.94
2006-08-29,15.56,22.88
2006-08-30,15.56,22.82
2006-08-31,15.7,22.83
2006-09-01,15.81,23.05
2006-09-05,16.17,23.03
2006-09-06,15.72,22.63
2006-09-07,15.5,22.32
2006-09-08,15.47,22.08
2006-09-11,14.94,21.54
2006-09-12,15,21.62
2006-09-13,15.17,21.81
2006-09-14,15.21,21.58
2006-09-15,15.18,21.6
2006-09-18,15.44,21.92
2006-09-19,15.09,21.58
2006-09-20,15.07,21.41
2006-09-21,14.99,21.6
2006-09-22,14.74,21.51
2006-09-25,15,21.59
2006-09-26,15.02,21.81
2006-09-27,15.31,22.12
2006-09-28,15.33,22.26
2006-09-29,15.36,22.08
2006-10-02,15.54,22.01
2006-10-03,15.3,21.33
2006-10-04,15.54,21.47
2006-10-05,15.8,21.79
2006-10-06,15.6,21.68
2006-10-09,15.65,21.66
2006-10-10,15.73,21.65
2006-10-11,15.78,21.24
2006-10-12,16.15,21.49
2006-10-13,16.16,21.87
2006-10-16,16.4,22.24
2006-10-17,16.05,21.96
2006-10-18,16.26,21.94
2006-10-19,16.37,22.37
2006-10-20,16.66,22.4
2006-10-23,16.58,22.5
2006-10-24,16.61,22.72
2006-10-25,16.69,23.04
2006-10-26,17.16,23.18
2006-10-27,16.86,22.82
2006-10-30,17.41,22.89
2006-10-31,17.18,23.22
2006-11-01,17.56,22.49
2006-11-02,17.29,22.88
2006-11-03,17.41,23.03
2006-11-06,17.66,23.24
2006-11-07,17.86,23.18
2006-11-08,17.47,23.34
2006-11-09,17.43,23.49
2006-11-10,17.34,23.28
2006-11-13,17.12,23.1
2006-11-14,17.38,23.1
2006-11-15,17.22,23.31
2006-11-16,17.06,23.1
2006-11-17,17.24,23.07
2006-11-20,16.86,23.17
2006-11-21,17.2,23.52
2006-11-22,17.57,23.57
2006-11-24,17.7,23.86
2006-11-27,17.42,23.64
2006-11-28,17.86,23.66
2006-11-29,17.98,23.82
2006-11-30,18.18,23.85
2006-12-01,17.81,23.85
2006-12-04,18.15,24.14
2006-12-05,18.03,24.25
2006-12-06,18.16,24.1
2006-12-07,18,24.05
2006-12-08,17.7,24.06
2006-12-11,17.98,24.02
2006-12-12,18.01,23.93
2006-12-13,18.19,23.89
2006-12-14,18.56,24.12
2006-12-15,18.38,23.73
2006-12-18,18.31,23.49
2006-12-19,18.32,23.62
2006-12-20,18.52,23.51
2006-12-21,18.39,23.2
2006-12-22,18.47,23.12
2006-12-26,18.53,22.97
2006-12-27,18.91,23.35
2006-12-28,18.99,23.43
2006-12-29,18.75,23.4
2007-01-03,18.79,22.83
2007-01-04,18.35,22.43
2007-01-05,17.97,22.35
2007-01-08,18.1,22.19
2007-01-09,18.23,22.24
2007-01-10,18.07,22.21
2007-01-11,18.28,22.32
2007-01-12,18.67,22.86
2007-01-16,18.63,22.52
2007-01-17,18.61,22.78
2007-01-18,18.75,22.51
2007-01-19,19.06,22.85
2007-01-22,19.01,22.57
2007-01-23,19.51,23.06
2007-01-24,19.31,23.31
2007-01-25,18.77,23.05
2007-01-26,18.78,23.23
2007-01-29,18.79,23.06
2007-01-30,19.2,23.33
2007-01-31,19.17,23.42
2007-02-01,19.11,23.6
2007-02-02,19.11,23.44
2007-02-05,19.22,23.55
2007-02-06,19.48,23.63
2007-02-07,19.64,23.52
2007-02-08,19.78,23.65
2007-02-09,19.63,23.61
2007-02-12,19.48,23.51
2007-02-13,19.94,23.98
2007-02-14,20.2,24.03
2007-02-15,20.18,24.26
2007-02-16,20.24,24.29
2007-02-20,20.38,24.1
2007-02-21,20.37,24.38
2007-02-22,20.54,24.3
2007-02-23,20.96,24.36
2007-02-26,21,24.5
2007-02-27,19.71,23.57
2007-02-28,19.85,23.57
2007-03-01,19.75,23.33
2007-03-02,19.67,22.96
2007-03-05,18.25,22.7
2007-03-06,19.68,23.05
2007-03-07,19.42,23.23
2007-03-08,19.52,23.35
2007-03-09,19.5,23.56
2007-03-12,20.09,23.49
2007-03-13,19.41,22.94
2007-03-14,19.82,23.02
2007-03-15,20.25,23.14
2007-03-16,20.09,23.08
2007-03-19,20.46,23.31
2007-03-20,20.79,23.68
2007-03-21,21.02,24.11
2007-03-22,21.12,24.04
2007-03-23,21,24.18
2007-03-26,21.62,24.26
2007-03-27,21.06,24.19
2007-03-28,20.73,24.09
2007-03-29,20.97,24.3
2007-03-30,21.2,24.23
2007-04-02,21.26,24.43
2007-04-03,21.73,24.73
2007-04-04,21.95,24.66
2007-04-05,22.08,24.84
2007-04-09,22.07,24.88
2007-04-10,22.6,24.83
2007-04-11,22.36,25
2007-04-12,22.78,25.34
2007-04-13,22.81,25.42
2007-04-16,23.02,25.83
2007-04-17,23.1,25.67
2007-04-18,23.11,25.8
2007-04-19,22.83,25.48
2007-04-20,22.96,25.85
2007-04-23,22.87,25.77
2007-04-24,22.45,25.67
2007-04-25,22.96,26.1
2007-04-26,22.7,25.73
2007-04-27,22.62,25.96
2007-04-30,22.34,25.83
2007-05-01,22.38,25.58
2007-05-02,22.91,26.04
2007-05-03,22.83,26.26
2007-05-04,23.11,26.45
2007-05-07,23.1,26.81
2007-05-08,23.03,26.78
2007-05-09,23.5,26.77
2007-05-10,23.05,26.48
2007-05-11,23.47,26.91
2007-05-14,23.35,26.81
2007-05-15,23.31,27.15
2007-05-16,23.05,27.21
2007-05-17,23.24,27.58
2007-05-18,23.34,27.81
2007-05-21,23.25,27.96
2007-05-22,23.04,27.76
2007-05-23,23.2,27.71
2007-05-24,22.35,27.53
2007-05-25,22.9,27.88
2007-05-29,22.84,27.89
2007-05-30,22.83,28.15
2007-05-31,23.15,28.18
2007-06-01,23.44,28.54
2007-06-04,23.71,28.62
2007-06-05,23.75,28.5
2007-06-06,23.35,28.11
2007-06-07,23.16,27.41
2007-06-08,23.43,27.73
2007-06-11,23.6,27.6
2007-06-12,22.92,27.44
2007-06-13,23.27,27.88
2007-06-14,23.35,28.21
2007-06-15,23.75,28.66
2007-06-18,23.88,28.74
2007-06-19,24.24,28.5
2007-06-20,24.2,28.06
2007-06-21,24.27,28.13
2007-06-22,24.1,27.91
2007-06-25,24.3,27.65
2007-06-26,23.8,27.23
2007-06-27,23.25,27.47
2007-06-28,23.74,27.83
