,date,open,high,low,close,volume
0,2019-05-13,46.42,46.49,44.90,45.40,389276.0
1,2019-05-14,45.86,46.90,45.60,46.46,269500.0
2,2019-05-15,45.85,46.49,45.05,46.39,277464.0
3,2019-05-16,45.88,46.20,45.30,45.67,270331.0
4,2019-05-17,44.45,44.45,41.78,42.21,678586.0
5,2019-05-20,40.60,41.20,39.05,41.07,767866.0
6,2019-05-21,39.59,41.48,39.21,41.01,688692.0
7,2019-05-22,39.82,40.79,38.35,38.54,712385.0
8,2019-05-23,38.80,39.90,37.24,39.10,930169.0
9,2019-05-24,39.98,39.99,37.75,38.12,546526.0
10,2019-05-28,38.21,39.00,37.57,37.74,388483.0
11,2019-05-29,37.42,38.48,37.01,37.97,472947.0
12,2019-05-30,37.75,38.45,37.40,37.65,303650.0
13,2019-05-31,37.02,37.99,36.82,37.03,393726.0
14,2019-06-03,37.07,37.33,35.40,35.79,522336.0
15,2019-06-04,36.22,38.79,35.92,38.72,538946.0
16,2019-06-05,39.74,40.26,38.37,39.32,531763.0
17,2019-06-06,40.81,42.20,40.36,41.19,768620.0
18,2019-06-07,40.97,42.17,40.70,40.90,598143.0
19,2019-06-10,42.05,43.39,41.80,42.58,381918.0
20,2019-06-11,43.88,44.18,42.70,43.42,419533.0
21,2019-06-12,44.62,44.67,41.80,41.85,582223.0
22,2019-06-13,42.08,42.98,41.50,42.78,329144.0
23,2019-06-14,42.26,43.33,42.08,42.99,286122.0
24,2019-06-17,42.92,45.40,42.85,45.01,487123.0
25,2019-06-18,45.74,46.95,44.51,44.95,489861.0
26,2019-06-19,45.02,45.56,44.21,45.28,255629.0
27,2019-06-20,44.60,45.38,43.27,43.92,459603.0
28,2019-06-21,43.25,44.44,43.10,44.37,278946.0
29,2019-06-24,44.65,45.17,44.21,44.73,221722.0
30,2019-06-25,44.88,45.07,43.90,43.95,230789.0
31,2019-06-26,44.01,45.44,43.62,43.85,326103.0
32,2019-06-27,43.83,44.58,43.47,44.57,230240.0
33,2019-06-28,44.19,45.03,44.16,44.69,236629.0
34,2019-07-01,46.04,46.62,45.26,45.44,323937.0
35,2019-07-02,45.78,45.83,44.44,44.91,275897.0
36,2019-07-03,47.88,48.31,46.90,46.98,539248.0
37,2019-07-05,46.92,47.09,46.16,46.62,276175.0
38,2019-07-08,46.25,46.45,45.73,46.07,228981.0
39,2019-07-09,45.79,46.20,45.46,46.01,241390.0
40,2019-07-10,46.83,47.79,46.63,47.78,349500.0
41,2019-07-11,47.63,48.30,47.16,47.72,284023.0
42,2019-07-12,47.95,49.08,47.94,49.01,305950.0
43,2019-07-15,49.69,50.88,48.97,50.70,417496.0
44,2019-07-16,49.83,50.71,49.58,50.47,299103.0
45,2019-07-17,51.13,51.66,50.67,50.97,337267.0
46,2019-07-18,51.05,51.15,50.38,50.71,182754.0
47,2019-07-19,51.14,51.99,50.92,51.63,276367.0
48,2019-07-22,51.72,52.43,50.84,51.13,266591.0
49,2019-07-23,51.37,52.10,50.90,52.03,176254.0
50,2019-07-24,51.83,53.22,51.63,52.97,300618.0
51,2019-07-25,46.65,46.90,45.11,45.76,834634.0
52,2019-07-26,45.38,46.05,44.45,45.61,387411.0
53,2019-07-29,45.42,47.19,45.21,47.15,369428.0
54,2019-07-30,46.58,48.67,46.44,48.45,314787.0
55,2019-07-31,48.60,49.33,47.33,48.32,360302.0
56,2019-08-01,48.53,48.90,46.35,46.77,319479.0
57,2019-08-02,46.27,47.26,45.85,46.87,234214.0
58,2019-08-05,45.92,46.28,45.15,45.67,256808.0
59,2019-08-06,46.38,46.50,45.15,46.15,208605.0
60,2019-08-07,45.33,46.72,45.16,46.69,183643.0
61,2019-08-08,46.92,47.96,46.53,47.66,202065.0
62,2019-08-09,47.21,47.79,46.76,47.00,145303.0
63,2019-08-12,46.60,47.15,45.75,45.80,182408.0
64,2019-08-13,45.76,47.20,45.51,47.00,187278.0
65,2019-08-14,46.24,46.30,43.34,43.92,363162.0
66,2019-08-15,44.17,44.31,42.31,43.13,322624.0
67,2019-08-16,43.33,44.45,43.21,43.99,191108.0
68,2019-08-19,44.84,45.56,44.34,45.37,205808.0
69,2019-08-20,45.53,45.82,44.91,45.17,155848.0
70,2019-08-21,44.44,44.65,43.52,44.17,302335.0
71,2019-08-22,44.56,45.08,43.65,44.43,229926.0
72,2019-08-23,43.99,44.24,42.20,42.28,328996.0
73,2019-08-26,42.72,43.01,42.31,43.00,188961.0
74,2019-08-27,43.15,43.76,42.40,42.81,209378.0
75,2019-08-28,42.70,43.45,42.46,43.12,126398.0
76,2019-08-29,43.80,44.68,43.60,44.34,198678.0
77,2019-08-30,45.84,46.49,44.84,45.12,346042.0
78,2019-09-03,44.81,45.79,44.63,45.00,213668.0
79,2019-09-04,45.38,45.69,43.84,44.13,233585.0
80,2019-09-05,44.54,45.96,44.17,45.92,305343.0
81,2019-09-06,45.54,45.93,45.03,45.49,161286.0
82,2019-09-09,45.97,46.75,45.85,46.36,188445.0
83,2019-09-10,46.07,47.11,45.79,47.11,190997.0
84,2019-09-11,47.47,49.63,47.20,49.42,384425.0
85,2019-09-12,49.56,50.70,48.88,49.17,332886.0
86,2019-09-13,49.39,49.69,48.97,49.04,159748.0
87,2019-09-16,49.20,49.49,48.24,48.56,171477.0
88,2019-09-17,48.49,49.12,48.08,48.96,138527.0
89,2019-09-18,48.96,49.63,48.47,48.70,149378.0
90,2019-09-19,49.15,49.59,48.97,49.32,167525.0
91,2019-09-20,49.30,49.39,47.63,48.12,206690.0
92,2019-09-23,47.95,49.03,47.85,48.24,154181.0
93,2019-09-24,48.30,48.40,44.52,44.64,475717.0
94,2019-09-25,44.91,45.79,43.67,45.74,344077.0
95,2019-09-26,46.13,48.66,45.48,48.51,440772.0
96,2019-09-27,48.44,49.74,47.74,48.42,404513.0
97,2019-09-30,48.60,48.79,47.22,48.17,214230.0
98,2019-10-01,48.30,49.19,47.83,48.94,222159.0
99,2019-10-02,48.66,48.93,47.88,48.62,193628.0
100,2019-10-03,46.40,46.90,44.85,46.60,540610.0
101,2019-10-04,46.37,46.96,45.62,46.28,296010.0
102,2019-10-07,45.96,47.71,45.71,47.54,308006.0
103,2019-10-08,47.17,48.79,46.90,48.01,335250.0
104,2019-10-09,48.29,49.46,48.13,48.90,258416.0
105,2019-10-10,49.01,49.85,48.31,48.95,234251.0
106,2019-10-11,49.43,50.22,49.36,49.58,321570.0
107,2019-10-14,49.58,51.71,49.42,51.39,393205.0
108,2019-10-15,51.56,52.00,50.83,51.58,242328.0
109,2019-10-16,51.51,52.42,51.38,51.95,245964.0
110,2019-10-17,52.49,52.96,52.03,52.40,175494.0
111,2019-10-18,52.15,52.56,51.02,51.39,217775.0
112,2019-10-21,51.67,51.90,50.03,50.70,181498.0
113,2019-10-22,50.87,51.67,50.17,51.12,164918.0
114,2019-10-23,50.90,51.23,50.27,50.94,186980.0
115,2019-10-24,59.70,60.99,57.84,59.94,1025702.0
116,2019-10-25,59.56,66.00,59.22,65.62,1134205.0
117,2019-10-28,65.51,68.17,64.52,65.54,707578.0
118,2019-10-29,63.97,64.86,62.95,63.24,480127.0
119,2019-10-30,62.67,63.76,61.99,63.00,344648.0
